Tissue,R,G,B
0,43,23,13
0,48,29,16
0,33,15,7
0,30,13,7
0,25,10,5
0,33,15,8
0,30,13,7
0,29,12,6
0,41,22,12
0,45,25,14
0,41,21,11
0,45,25,14
0,44,24,13
0,33,15,8
0,29,12,6
0,57,38,23
0,56,38,23
0,53,34,20
0,53,34,20
0,50,30,18
0,50,31,18
0,51,33,20
0,48,30,18
0,54,34,20
0,52,33,19
0,52,34,20
0,51,35,20
0,54,36,21
0,55,34,20
0,53,31,17
0,56,35,20
0,56,33,19
0,52,31,19
0,47,30,19
0,40,24,15
0,41,24,14
0,52,33,19
0,39,19,12
0,44,22,12
0,45,23,13
0,43,23,13
0,61,42,25
0,59,36,21
0,58,36,19
0,56,31,16
0,55,30,16
0,56,32,18
0,55,31,18
0,54,29,15
0,54,29,16
0,56,30,17
0,56,31,18
0,54,30,15
0,54,31,15
0,53,30,16
0,55,35,19
0,60,37,20
0,62,37,21
0,64,40,25
0,63,41,27
0,61,40,26
0,57,40,26
0,58,41,27
0,61,36,20
0,59,36,21
0,51,31,19
0,48,28,19
0,55,35,23
0,48,27,12
0,46,24,11
0,43,21,9
0,41,20,9
0,40,19,8
0,39,18,8
0,37,17,7
0,34,16,7
0,38,18,8
0,35,18,8
0,29,14,7
0,29,13,7
0,35,19,9
0,37,20,9
0,38,22,10
0,23,10,5
0,22,8,4
0,18,4,2
0,61,41,24
0,57,34,19
0,60,41,23
0,59,38,20
0,59,41,22
0,57,37,19
0,56,35,18
0,56,38,21
0,56,39,22
0,54,37,21
0,61,46,27
0,59,42,24
0,60,44,26
0,58,43,26
0,8,1,0
0,9,1,0
0,8,1,0
0,9,1,0
0,8,1,0
0,11,3,1
0,11,2,1
0,9,1,0
0,8,1,0
0,21,7,3
0,21,7,2
0,18,5,2
0,15,4,1
0,12,3,0
0,12,3,0
0,13,3,0
0,11,2,0
0,16,4,1
0,11,2,0
0,10,1,0
0,9,1,0
0,9,2,0
0,9,2,0
0,10,2,0
0,9,2,0
0,9,1,0
0,9,1,0
0,28,19,9
0,31,22,11
0,28,18,9
0,41,29,15
0,40,28,14
0,52,39,21
0,59,45,25
0,60,45,25
0,64,47,26
0,32,20,9
0,38,24,11
0,49,34,18
0,45,29,14
0,53,37,20
0,51,35,19
0,61,46,27
0,64,50,30
0,36,21,10
0,38,21,9
0,41,24,10
0,46,30,15
0,54,38,21
0,54,38,21
0,43,25,11
0,56,41,23
0,51,34,18
0,49,30,15
0,52,33,17
0,49,28,13
0,46,24,10
0,43,23,10
0,39,19,8
0,52,36,21
0,53,37,22
0,54,37,20
0,52,36,19
0,49,32,16
0,45,26,12
0,36,17,7
0,32,16,6
0,38,22,11
0,43,27,13
0,59,44,26
0,57,41,24
0,58,41,23
0,42,26,12
0,38,24,12
0,38,23,12
0,35,23,12
0,33,21,12
0,43,24,10
0,44,24,10
0,40,19,7
0,55,39,26
0,55,40,27
0,54,38,25
0,54,38,26
0,50,33,22
0,51,35,25
0,49,34,23
0,33,16,9
0,37,18,10
0,29,9,4
0,27,12,6
0,23,13,8
0,24,12,8
0,26,12,6
0,26,10,4
0,22,9,4
0,16,7,5
0,21,9,5
0,20,5,2
0,23,6,2
0,19,6,2
0,26,8,3
0,57,43,26
0,56,41,25
0,56,40,24
0,56,39,22
0,57,40,22
0,58,41,23
0,54,36,20
0,51,32,18
0,46,26,14
0,43,24,14
0,35,15,7
0,52,33,18
0,46,25,13
0,43,21,11
0,53,36,20
0,50,30,15
0,46,25,12
0,51,32,16
0,56,40,27
0,56,41,28
0,54,39,27
0,55,40,26
0,52,35,23
0,51,33,21
0,45,25,16
0,45,25,16
0,46,27,17
0,45,26,17
0,49,32,19
0,41,25,17
0,36,20,13
0,41,22,15
0,35,18,12
0,38,20,13
0,36,19,11
0,39,20,11
0,45,27,14
0,40,21,10
0,42,23,12
0,39,24,16
0,38,19,9
0,34,15,7
0,50,33,24
0,47,28,20
0,36,14,7
0,38,18,12
0,35,14,9
0,33,13,8
0,32,12,6
0,34,15,9
